Sample,Acidity,Sugar,Moisture,Starch,Acetic Acid,Ethanol,Lactic Acid
117,2.42,4.7,42.56,33.46,0.3,0.23,0.63
118,2.58,4.24,42.38,33.51,0.3,0.32,0.63
119,2.86,4.06,43.95,32.14,0.32,0.39,0.79
120,2.68,3.45,43.45,32.07,0.27,0.37,0.8
121,2.74,4.02,43.76,31.58,0.29,0.71,0.78
122,2.38,3.92,41,34,0.26,0.14,0.55
123,,,,,,,
124,2.42,4.48,41.62,34.2,0.28,0.17,0.6
125,2.31,4.72,42.84,33.11,0.29,0.43,0.57
126,2.71,4.48,43.11,32.71,0.3,0.31,0.73
127,2.58,4.41,43.98,32.62,0.28,0.45,0.71
128,3.11,3.22,42.3,31.72,0.29,0.77,0.85
129,,,,,,,
130,2.47,2.66,40.52,34.64,0.22,0.16,0.65
131,2.41,3.72,40.77,34.18,0.28,0.16,0.64
132,2.45,3.73,40.67,34.66,0.27,0.05,0.65
133,2.47,3.27,40.62,34.62,0.26,0.1,0.65
134,2.32,3.02,41.39,33.84,0.24,0.31,0.67
135,,,,,,,
136,2.43,2.91,39.71,35.19,0.23,0.16,0.66
137,2.46,2.95,39.34,35.42,0.24,0.1,0.65
138,2.51,2.8,39.64,34.79,0.24,0.05,0.81
139,2.56,2.95,40.31,34.85,0.23,0.07,0.69
140,2.28,3.37,41.28,34.15,0.22,0.21,0.77
141,,,,,,,
142,2.57,2.98,39.24,35.61,0.24,0.16,0.66
143,2.58,3.52,40.22,35.4,0.28,0.12,0.65
144,2.49,3.75,39.52,35.68,0.27,0.04,0.71
145,2.58,3.74,41.98,34.11,0.28,0.07,0.68
146,2.55,3.13,40.52,34.19,0.25,0.14,0.73
147,,,,,,,
148,2.36,3.57,39.82,35.43,0.26,0.22,0.58
149,2.24,4.12,40.32,35.66,0.26,0.12,0.63
150,2.34,3.36,40.31,34.92,0.25,0,0.67
151,2.72,3.94,40.98,35.4,0.26,0.11,0.72
152,2.58,4.35,40.57,34.77,0.29,0.16,0.62
153,,,,,,,
154,2.32,2.91,40.69,34.32,0.23,0.18,0.64
155,2.41,3.73,40.97,34.17,0.27,0.13,0.6
156,2.41,4,40.86,34.98,0.27,0.05,0.66
157,2.5,2.94,39.46,35.54,0.23,0.05,0.71
158,2.24,4.2,42.11,33.72,0.27,0.24,0.68
161,0.91,2.14,38.33,39.66,0.12,0.22,0.29
162,0.84,1.62,39.89,38.33,0.07,0.47,0.22
163,0.83,1.97,39.02,39.19,0.09,0.36,0.18
164,0.81,1.54,39.33,38.51,0.07,0.47,0.18
165,0.73,2.63,39.2,38.79,0.06,0.35,0.22
166,0.81,1.47,39.6,38.17,0.07,0.59,0.18
167,0.85,1.58,40.09,38.31,0.07,0.83,0.27
168,0.82,1.81,42.51,36.32,0.08,0.93,0.23
169,0.87,1.93,40.05,38.21,0.1,0.72,0.2
170,0.87,1.82,40.65,37.19,0.1,0.83,0.27
171,0.65,1.62,41.21,37.29,0.06,0.38,0
172,0.83,2.05,41,37.06,0.08,0.88,0.27
173,0.95,1.98,40.24,37.8,0.1,0.8,0.26
174,1.01,2.14,41.86,36.81,0.17,0.77,0.21
175,0.95,1.97,40.68,37.91,0.11,0.79,0.29
176,1.07,2.16,41.69,37.8,0.16,0.78,0.34
177,0.61,1.61,40.45,37.98,0.05,0.35,0.06
178,0.72,1.91,40.66,37.92,0.06,0.73,0.19
179,0.98,2.14,41.02,37.06,0.14,0.84,0.27
180,1.04,1.83,40.62,37.2,0.14,0.89,0.23
181,1,1.84,40.62,36.87,0.11,0.79,0.32
182,1.22,2.21,41.64,36.98,0.17,0.71,0.39
183,1.34,1.28,41.16,37.18,0.15,0.64,0.49
184,0.64,1.96,39.06,38.9,0.09,0.06,0.05
185,0.76,1.83,40.86,37.25,0.08,0.78,0.24
186,1.01,2.18,40.69,37.49,0.12,0.77,0.29
187,1.2,1.82,40.93,36.68,0.14,0.82,0.38
188,0.97,2.07,41.15,37.31,0.11,0.79,0.33
189,1.29,2.07,40.55,36.47,0.15,0.84,0.47
190,0.88,2.79,40.78,37.54,0.12,0.4,0.27
191,0.83,2.04,39.01,38.63,0.1,0.1,0.05
192,0.84,2.19,39.77,37.5,0.1,0.27,0.17
193,0.84,1.62,40.47,37.31,0.08,0.71,0.19
194,0.81,2.1,40.48,37.81,0.11,0.7,0.23
195,0.78,2.85,40.94,38.2,0.13,0.53,0.15
196,0.89,3.22,38.84,39.55,0.15,0.27,0.18
197,0.93,2.33,38.53,39.24,0.11,0.07,0.3
198,0.94,2.89,38.07,39.89,0.14,0.11,0.17
199,0.99,2.59,38.22,39.32,0.13,0.14,0.24
200,0.83,2.12,38.86,39.01,0.08,0.32,0.18
201,0.77,2.86,37.9,40.02,0.09,0.17,0.2
202,0.79,3.22,39.36,38.64,0.11,0.35,0.23
203,1.01,2.49,38.43,38.98,0.13,0.12,0.25
204,0.91,2.54,37.71,40.1,0.13,0.32,0.22
205,0.63,2.36,40.41,37.92,0.1,0,0.09
206,0.76,2.65,39.41,38.17,0.11,0.22,0.17
207,0.61,2.28,38.15,39.48,0.02,0,0.11
208,0.92,2.41,39.83,37.92,0.11,0.16,0.25
209,0.91,2.42,39.59,38.18,0.13,0.37,0.11
210,0.9,2.6,38.85,38.93,0.11,0.28,0.21
211,0.79,2.19,39.62,38.24,0.11,0.31,0.15
212,0.59,2.73,39.37,39.1,0.07,0,0.07
213,0.92,2.74,41.39,37.06,0.14,0.76,0.27
214,0.88,2.94,37.04,40.86,0.12,0.03,0.17
215,0.68,1.67,40.47,37.65,0.07,0.23,0.04
216,0.91,1.97,40.2,37.82,0.09,0.65,0.23
217,0.89,2.3,41.61,37.26,0.11,0.7,0.28
218,0.86,2.9,39.71,38.4,0.11,0.44,0.21
219,1.02,2.43,40.36,37.23,0.13,0.73,0.34
220,1.21,1.7,42.34,36.97,0.15,0.82,0.39
